,d3qn-per-discount-,converge_cnt,total_time,min
Mk01,45.0,2021.0,230.27829384803772,42.0
Mk02,32.0,2400.0,288.4545714855194,32.0
Mk03,223.0,527.0,165.4173903465271,204.0
Mk04,74.0,1790.0,339.0682315826416,69.0
Mk05,179.0,7999.0,1799.991919517517,178.0
Mk06,81.0,869.0,265.52491188049316,75.0
Mk07,167.0,7999.0,1750.894825220108,160.0
Mk08,538.0,2371.0,1178.4747033119202,523.0
Mk09,327.0,6790.0,3600.3927853107452,311.0
Mk10,255.0,6882.0,3600.260896921158,243.0
