,d3qn-per-discount-,converge_cnt,total_time,min
Mk01,48.0,1556.0,197.7023468017578,42.0
Mk02,33.0,2492.0,326.29236340522766,31.0
Mk03,223.0,1140.0,361.76688027381897,204.0
Mk04,73.0,2006.0,381.2659435272217,69.0
Mk05,181.0,7999.0,1814.9558064937592,177.0
Mk06,80.0,1081.0,337.6066153049469,77.0
Mk07,178.0,3415.0,753.7839915752411,168.0
Mk08,523.0,1295.0,648.278046131134,523.0
Mk09,320.0,6920.0,3600.14164352417,312.0
Mk10,278.0,3329.0,1719.4416909217834,238.0
