,d3qn-per-discount-,converge_cnt,total_time,min
Mk01,45.0,749.0,84.51411247253418,42.0
Mk02,34.0,1080.0,129.08037781715393,31.0
Mk03,223.0,2650.0,846.1494872570038,204.0
Mk04,73.0,4061.0,774.5074789524078,68.0
Mk05,179.0,7999.0,1806.4440004825592,178.0
Mk06,78.0,7999.0,2491.130879640579,71.0
Mk07,166.0,6908.0,1508.8837933540344,165.0
Mk08,523.0,4616.0,2284.6321983337402,523.0
Mk09,324.0,6843.0,3600.219922542572,312.0
Mk10,334.0,1112.0,573.4540779590607,243.0
