,d3qn-per-discount-,converge_cnt,total_time,min
Mk01,45.0,1620.0,183.10080337524414,43.0
Mk02,33.0,1173.0,140.7660403251648,32.0
Mk03,220.0,2968.0,934.9331212043762,204.0
Mk04,75.0,2222.0,422.8164563179016,68.0
Mk05,182.0,7999.0,1804.1686840057373,177.0
Mk06,78.0,3427.0,1062.151973247528,74.0
Mk07,179.0,7999.0,1764.2235901355743,161.0
Mk08,523.0,2453.0,1209.4465308189392,523.0
Mk09,330.0,6959.0,3600.4143209457397,312.0
Mk10,250.0,6871.0,3600.3233382701874,242.0
