,d3qn-per-discount-,converge_cnt,total_time,min
Mk01,45.0,2460.0,277.6621949672699,42.0
Mk02,34.0,2083.0,247.9773509502411,32.0
Mk03,204.0,5638.0,1789.2003688812256,204.0
Mk04,72.0,1879.0,351.9417419433594,68.0
Mk05,180.0,7999.0,1813.0674140453339,176.0
Mk06,84.0,1822.0,560.1447176933289,71.0
Mk07,179.0,5111.0,1118.1738953590393,154.0
Mk08,523.0,2867.0,1413.5292971134186,523.0
Mk09,319.0,6819.0,3600.2702734470367,311.0
Mk10,275.0,2067.0,1078.4582509994507,247.0
