,6-ms-simple2-fjsp-2000-MK-,converged_iterations,total_time,min
Mk01,43.0,911.0,42.03183341026306,43.0
Mk02,32.0,1454.0,71.61978554725647,31.0
Mk03,204.0,1466.0,219.68866801261902,204.0
Mk04,71.0,1391.0,96.31348729133606,69.0
Mk05,180.0,2393.0,284.12629771232605,179.0
Mk06,78.0,1478.0,172.79081511497498,76.0
Mk07,163.0,2969.0,362.7065122127533,157.0
Mk08,523.0,1364.0,280.2559015750885,523.0
Mk09,319.0,3140.0,713.599586725235,315.0
Mk10,240.0,6269.0,1459.035208940506,236.0
