,6-ms-simple2-fjsp-2000-MK-,converged_iterations,total_time,min
Mk01,44.0,1121.0,52.040607929229736,42.0
Mk02,33.0,1454.0,70.94545841217041,33.0
Mk03,204.0,1511.0,221.78225541114807,204.0
Mk04,73.0,1904.0,135.4105203151703,71.0
Mk05,179.0,2231.0,260.1150140762329,178.0
Mk06,80.0,3044.0,377.93468832969666,74.0
Mk07,161.0,2546.0,315.8879563808441,156.0
Mk08,523.0,821.0,160.29333353042603,523.0
Mk09,311.0,4913.0,1087.6613581180573,307.0
Mk10,243.0,3503.0,779.7598929405212,241.0
