,6-ms-simple2-fjsp-2000-MK-,converged_iterations,total_time,min
Mk01,43.0,959.0,45.26403522491455,42.0
Mk02,34.0,1217.0,59.39667010307312,31.0
Mk03,204.0,1895.0,280.97066831588745,204.0
Mk04,72.0,1538.0,104.65472769737244,67.0
Mk05,183.0,3038.0,363.6411552429199,180.0
Mk06,81.0,1619.0,202.34916710853577,78.0
Mk07,160.0,1517.0,179.89805603027344,153.0
Mk08,523.0,1475.0,312.8875916004181,523.0
Mk09,319.0,1631.0,354.5967490673065,317.0
Mk10,248.0,3443.0,760.9028556346893,244.0
