,6-ms-simple2-fjsp-2000-MK-,converged_iterations,total_time,min
Mk01,43.0,1580.0,76.32270574569702,42.0
Mk02,31.0,1010.0,48.095245361328125,30.0
Mk03,204.0,1844.0,273.97244572639465,204.0
Mk04,68.0,1745.0,122.71001815795898,68.0
Mk05,182.0,1817.0,216.051602602005,181.0
Mk06,77.0,1520.0,184.3535840511322,75.0
Mk07,158.0,3167.0,386.93304228782654,157.0
Mk08,523.0,923.0,182.7441644668579,523.0
Mk09,314.0,7994.0,1783.5417490005493,311.0
Mk10,240.0,4043.0,909.8324797153473,240.0
