,episode,make_span,reward,min
0,0.0,61.0,-60.99999999999999,61.0
1,1.0,61.0,-60.99999999999999,61.0
2,2.0,55.0,-54.99999999999999,55.0
3,3.0,42.0,-42.0,42.0
4,4.0,49.0,-49.00000000000001,42.0
5,5.0,54.0,-54.0,42.0
6,6.0,48.0,-47.99999999999999,42.0
7,7.0,55.0,-54.99999999999999,42.0
8,8.0,48.0,-47.99999999999999,42.0
9,9.0,48.0,-47.99999999999999,42.0
10,10.0,46.0,-46.000000000000014,42.0
11,11.0,46.0,-46.00000000000001,42.0
12,12.0,45.0,-45.00000000000001,42.0
13,13.0,48.0,-48.0,42.0
14,14.0,47.0,-47.00000000000001,42.0
15,15.0,50.0,-50.0,42.0
16,16.0,49.0,-49.00000000000001,42.0
17,17.0,49.0,-49.000000000000014,42.0
18,18.0,45.0,-45.0,42.0
19,19.0,48.0,-48.00000000000001,42.0
20,20.0,48.0,-48.0,42.0
21,21.0,45.0,-44.999999999999986,42.0
22,22.0,48.0,-48.0,42.0
23,23.0,45.0,-45.00000000000001,42.0
24,24.0,49.0,-48.99999999999999,42.0
25,25.0,45.0,-45.00000000000001,42.0
26,26.0,49.0,-49.000000000000014,42.0
27,27.0,49.0,-49.000000000000014,42.0
28,28.0,54.0,-54.0,42.0
29,29.0,49.0,-49.00000000000001,42.0
30,30.0,43.0,-43.00000000000001,42.0
31,31.0,48.0,-48.000000000000014,42.0
32,32.0,45.0,-45.0,42.0
33,33.0,50.0,-50.00000000000001,42.0
34,34.0,49.0,-48.99999999999999,42.0
35,35.0,49.0,-49.00000000000001,42.0
36,36.0,47.0,-46.999999999999986,42.0
37,37.0,49.0,-49.000000000000014,42.0
38,38.0,45.0,-45.00000000000001,42.0
39,39.0,55.0,-55.0,42.0
40,40.0,47.0,-47.0,42.0
41,41.0,49.0,-49.0,42.0
42,42.0,49.0,-49.00000000000001,42.0
43,43.0,47.0,-46.99999999999999,42.0
44,44.0,49.0,-49.000000000000014,42.0
45,45.0,49.0,-49.00000000000001,42.0
46,46.0,53.0,-53.000000000000014,42.0
47,47.0,54.0,-53.99999999999999,42.0
48,48.0,53.0,-53.0,42.0
49,49.0,48.0,-48.00000000000002,42.0
50,50.0,52.0,-52.0,42.0
51,51.0,44.0,-44.00000000000001,42.0
52,52.0,49.0,-49.00000000000001,42.0
53,53.0,49.0,-49.00000000000001,42.0
54,54.0,54.0,-54.0,42.0
55,55.0,49.0,-49.0,42.0
56,56.0,51.0,-51.0,42.0
57,57.0,49.0,-49.0,42.0
58,58.0,50.0,-50.00000000000001,42.0
59,59.0,46.0,-45.99999999999999,42.0
60,60.0,49.0,-49.00000000000001,42.0
61,61.0,47.0,-47.0,42.0
62,62.0,49.0,-49.00000000000001,42.0
63,63.0,50.0,-50.0,42.0
64,64.0,43.0,-43.00000000000001,42.0
65,65.0,49.0,-49.0,42.0
66,66.0,49.0,-49.0,42.0
67,67.0,49.0,-48.99999999999999,42.0
68,68.0,51.0,-51.0,42.0
69,69.0,49.0,-48.99999999999999,42.0
70,70.0,46.0,-46.00000000000001,42.0
71,71.0,43.0,-43.0,42.0
72,72.0,51.0,-50.99999999999999,42.0
73,73.0,45.0,-45.00000000000001,42.0
74,74.0,49.0,-49.00000000000001,42.0
75,75.0,55.0,-55.0,42.0
76,76.0,49.0,-49.0,42.0
77,77.0,46.0,-46.0,42.0
78,78.0,60.0,-60.00000000000001,42.0
79,79.0,53.0,-53.000000000000014,42.0
80,80.0,49.0,-48.99999999999999,42.0
81,81.0,49.0,-49.00000000000001,42.0
82,82.0,47.0,-47.0,42.0
83,83.0,54.0,-54.00000000000001,42.0
84,84.0,54.0,-54.00000000000001,42.0
85,85.0,49.0,-48.99999999999999,42.0
86,86.0,51.0,-51.0,42.0
87,87.0,47.0,-47.0,42.0
88,88.0,47.0,-47.000000000000014,42.0
89,89.0,50.0,-50.0,42.0
90,90.0,45.0,-45.0,42.0
91,91.0,49.0,-49.0,42.0
92,92.0,46.0,-46.00000000000001,42.0
93,93.0,53.0,-53.00000000000001,42.0
94,94.0,51.0,-51.00000000000002,42.0
95,95.0,51.0,-50.99999999999999,42.0
96,96.0,53.0,-53.00000000000002,42.0
97,97.0,52.0,-52.0,42.0
98,98.0,50.0,-50.0,42.0
99,99.0,45.0,-45.0,42.0
100,100.0,54.0,-53.999999999999986,42.0
101,101.0,49.0,-49.0,42.0
102,102.0,46.0,-45.999999999999986,42.0
103,103.0,54.0,-54.000000000000014,42.0
104,104.0,48.0,-48.0,42.0
105,105.0,49.0,-49.00000000000001,42.0
106,106.0,58.0,-57.999999999999986,42.0
107,107.0,51.0,-50.99999999999999,42.0
108,108.0,54.0,-54.0,42.0
109,109.0,46.0,-46.00000000000001,42.0
110,110.0,45.0,-45.00000000000001,42.0
111,111.0,43.0,-43.0,42.0
112,112.0,46.0,-46.00000000000001,42.0
113,113.0,45.0,-45.00000000000001,42.0
114,114.0,47.0,-46.99999999999999,42.0
115,115.0,49.0,-48.99999999999999,42.0
116,116.0,49.0,-49.0,42.0
117,117.0,49.0,-48.99999999999999,42.0
118,118.0,49.0,-48.99999999999999,42.0
119,119.0,45.0,-45.0,42.0
120,120.0,44.0,-44.0,42.0
121,121.0,44.0,-44.0,42.0
122,122.0,49.0,-49.00000000000001,42.0
123,123.0,48.0,-48.00000000000001,42.0
124,124.0,49.0,-49.00000000000001,42.0
125,125.0,50.0,-50.00000000000001,42.0
126,126.0,45.0,-45.00000000000001,42.0
127,127.0,52.0,-52.00000000000001,42.0
128,128.0,49.0,-49.00000000000001,42.0
129,129.0,48.0,-48.00000000000001,42.0
130,130.0,49.0,-49.00000000000001,42.0
131,131.0,49.0,-49.0,42.0
132,132.0,49.0,-48.99999999999999,42.0
133,133.0,49.0,-49.00000000000001,42.0
134,134.0,45.0,-45.0,42.0
135,135.0,46.0,-46.0,42.0
136,136.0,53.0,-53.00000000000001,42.0
137,137.0,55.0,-55.0,42.0
138,138.0,51.0,-51.00000000000001,42.0
139,139.0,49.0,-49.0,42.0
140,140.0,49.0,-49.0,42.0
141,141.0,46.0,-46.00000000000001,42.0
142,142.0,49.0,-49.000000000000014,42.0
143,143.0,45.0,-45.00000000000001,42.0
144,144.0,45.0,-45.00000000000001,42.0
145,145.0,51.0,-51.00000000000001,42.0
146,146.0,43.0,-43.000000000000014,42.0
147,147.0,45.0,-45.000000000000014,42.0
148,148.0,45.0,-45.00000000000001,42.0
149,149.0,49.0,-49.0,42.0
150,150.0,49.0,-49.00000000000001,42.0
151,151.0,45.0,-45.0,42.0
152,152.0,45.0,-45.00000000000001,42.0
153,153.0,45.0,-45.0,42.0
154,154.0,49.0,-49.000000000000014,42.0
155,155.0,45.0,-45.000000000000014,42.0
156,156.0,49.0,-49.00000000000001,42.0
157,157.0,45.0,-45.00000000000001,42.0
158,158.0,48.0,-48.00000000000001,42.0
159,159.0,49.0,-49.00000000000001,42.0
160,160.0,49.0,-49.0,42.0
161,161.0,49.0,-49.000000000000014,42.0
162,162.0,45.0,-45.000000000000014,42.0
163,163.0,45.0,-45.00000000000001,42.0
164,164.0,49.0,-49.0,42.0
165,165.0,46.0,-46.0,42.0
166,166.0,45.0,-45.0,42.0
167,167.0,49.0,-49.00000000000001,42.0
168,168.0,45.0,-45.0,42.0
169,169.0,49.0,-49.0,42.0
170,170.0,49.0,-48.99999999999999,42.0
171,171.0,51.0,-51.00000000000001,42.0
172,172.0,46.0,-46.0,42.0
173,173.0,48.0,-47.99999999999999,42.0
174,174.0,45.0,-44.99999999999999,42.0
175,175.0,49.0,-49.00000000000001,42.0
176,176.0,45.0,-44.99999999999999,42.0
177,177.0,49.0,-49.000000000000014,42.0
178,178.0,45.0,-45.0,42.0
179,179.0,49.0,-49.0,42.0
180,180.0,47.0,-47.000000000000014,42.0
181,181.0,45.0,-45.0,42.0
182,182.0,46.0,-46.0,42.0
183,183.0,49.0,-49.0,42.0
184,184.0,49.0,-49.0,42.0
185,185.0,49.0,-49.00000000000001,42.0
186,186.0,49.0,-49.000000000000014,42.0
187,187.0,46.0,-46.00000000000001,42.0
188,188.0,45.0,-45.00000000000001,42.0
189,189.0,60.0,-60.00000000000001,42.0
190,190.0,46.0,-46.0,42.0
191,191.0,45.0,-44.99999999999999,42.0
192,192.0,45.0,-45.00000000000001,42.0
193,193.0,48.0,-47.99999999999999,42.0
194,194.0,46.0,-46.00000000000001,42.0
195,195.0,49.0,-49.0,42.0
196,196.0,46.0,-46.0,42.0
197,197.0,47.0,-47.00000000000001,42.0
198,198.0,49.0,-49.0,42.0
199,199.0,49.0,-49.00000000000001,42.0
200,200.0,49.0,-49.00000000000001,42.0
201,201.0,46.0,-46.0,42.0
202,202.0,49.0,-49.0,42.0
203,203.0,49.0,-49.0,42.0
204,204.0,46.0,-46.0,42.0
205,205.0,49.0,-49.000000000000014,42.0
206,206.0,49.0,-49.00000000000001,42.0
207,207.0,46.0,-45.99999999999999,42.0
208,208.0,46.0,-46.0,42.0
209,209.0,49.0,-49.00000000000001,42.0
210,210.0,51.0,-51.00000000000001,42.0
211,211.0,46.0,-46.0,42.0
212,212.0,49.0,-49.0,42.0
213,213.0,45.0,-44.99999999999999,42.0
214,214.0,49.0,-49.000000000000014,42.0
215,215.0,49.0,-49.000000000000014,42.0
216,216.0,49.0,-49.0,42.0
217,217.0,45.0,-45.00000000000001,42.0
218,218.0,49.0,-49.00000000000001,42.0
219,219.0,49.0,-49.00000000000001,42.0
220,220.0,49.0,-49.0,42.0
221,221.0,49.0,-49.0,42.0
222,222.0,49.0,-49.00000000000001,42.0
223,223.0,49.0,-49.0,42.0
224,224.0,49.0,-49.0,42.0
225,225.0,45.0,-45.00000000000001,42.0
226,226.0,45.0,-45.00000000000001,42.0
227,227.0,49.0,-49.000000000000014,42.0
