,episode,make_span,reward,min
0,0.0,466.0,-245.26315789473688,466.0
1,1.0,440.0,-231.57894736842098,440.0
2,2.0,439.0,-231.0526315789473,439.0
3,3.0,395.0,-207.8947368421053,395.0
4,4.0,408.0,-214.736842105263,395.0
5,5.0,439.0,-231.0526315789472,395.0
6,6.0,413.0,-217.36842105263145,395.0
7,7.0,386.0,-203.15789473684197,386.0
8,8.0,340.0,-178.9473684210524,340.0
9,9.0,347.0,-182.63157894736833,340.0
10,10.0,327.0,-172.10526315789463,327.0
11,11.0,344.0,-181.0526315789472,327.0
12,12.0,327.0,-172.10526315789465,327.0
13,13.0,334.0,-175.7894736842104,327.0
14,14.0,336.0,-176.8421052631577,327.0
15,15.0,348.0,-183.15789473684194,327.0
16,16.0,344.0,-181.0526315789474,327.0
17,17.0,353.0,-185.78947368421032,327.0
18,18.0,343.0,-180.52631578947356,327.0
19,19.0,351.0,-184.73684210526295,327.0
20,20.0,368.0,-193.68421052631575,327.0
21,21.0,337.0,-177.36842105263153,327.0
22,22.0,323.0,-169.99999999999983,323.0
23,23.0,359.0,-188.94736842105257,323.0
24,24.0,347.0,-182.63157894736827,323.0
25,25.0,347.0,-182.6315789473683,323.0
26,26.0,362.0,-190.52631578947356,323.0
27,27.0,348.0,-183.15789473684194,323.0
28,28.0,353.0,-185.78947368421058,323.0
29,29.0,393.0,-206.84210526315786,323.0
30,30.0,401.0,-211.0526315789473,323.0
31,31.0,390.0,-205.26315789473665,323.0
32,32.0,374.0,-196.84210526315778,323.0
33,33.0,373.0,-196.3157894736842,323.0
34,34.0,369.0,-194.21052631578937,323.0
35,35.0,392.0,-206.31578947368425,323.0
36,36.0,379.0,-199.47368421052622,323.0
37,37.0,378.0,-198.94736842105252,323.0
38,38.0,335.0,-176.31578947368405,323.0
39,39.0,326.0,-171.5789473684209,323.0
40,40.0,325.0,-171.05263157894726,323.0
41,41.0,334.0,-175.78947368421035,323.0
42,42.0,338.0,-177.89473684210523,323.0
43,43.0,324.0,-170.52631578947356,323.0
44,44.0,342.0,-179.99999999999977,323.0
45,45.0,327.0,-172.1052631578947,323.0
46,46.0,328.0,-172.6315789473682,323.0
47,47.0,340.0,-178.94736842105243,323.0
48,48.0,346.0,-182.10526315789463,323.0
49,49.0,340.0,-178.94736842105252,323.0
50,50.0,353.0,-185.78947368421046,323.0
51,51.0,329.0,-173.157894736842,323.0
52,52.0,347.0,-182.63157894736844,323.0
53,53.0,344.0,-181.0526315789472,323.0
54,54.0,361.0,-189.99999999999994,323.0
55,55.0,336.0,-176.8421052631577,323.0
56,56.0,319.0,-167.89473684210506,319.0
57,57.0,338.0,-177.8947368421052,319.0
58,58.0,319.0,-167.89473684210515,319.0
59,59.0,336.0,-176.84210526315772,319.0
60,60.0,338.0,-177.8947368421051,319.0
61,61.0,325.0,-171.05263157894726,319.0
62,62.0,326.0,-171.57894736842098,319.0
63,63.0,323.0,-170.0,319.0
64,64.0,336.0,-176.84210526315772,319.0
65,65.0,322.0,-169.47368421052622,319.0
66,66.0,343.0,-180.52631578947353,319.0
67,67.0,343.0,-180.52631578947353,319.0
68,68.0,335.0,-176.31578947368408,319.0
69,69.0,334.0,-175.78947368421032,319.0
70,70.0,334.0,-175.78947368421032,319.0
71,71.0,334.0,-175.78947368421032,319.0
72,72.0,334.0,-175.78947368421032,319.0
73,73.0,334.0,-175.78947368421032,319.0
74,74.0,334.0,-175.78947368421032,319.0
75,75.0,334.0,-175.78947368421032,319.0
76,76.0,334.0,-175.78947368421032,319.0
77,77.0,334.0,-175.78947368421032,319.0
78,78.0,334.0,-175.78947368421032,319.0
79,79.0,334.0,-175.78947368421032,319.0
80,80.0,334.0,-175.78947368421032,319.0
81,81.0,334.0,-175.78947368421032,319.0
82,82.0,334.0,-175.78947368421032,319.0
83,83.0,334.0,-175.78947368421032,319.0
84,84.0,334.0,-175.78947368421032,319.0
85,85.0,334.0,-175.78947368421032,319.0
86,86.0,334.0,-175.78947368421032,319.0
87,87.0,334.0,-175.78947368421032,319.0
88,88.0,334.0,-175.78947368421032,319.0
89,89.0,334.0,-175.78947368421032,319.0
90,90.0,334.0,-175.78947368421032,319.0
91,91.0,334.0,-175.78947368421032,319.0
92,92.0,334.0,-175.78947368421032,319.0
93,93.0,334.0,-175.78947368421032,319.0
94,94.0,334.0,-175.78947368421032,319.0
95,95.0,334.0,-175.78947368421032,319.0
96,96.0,334.0,-175.78947368421032,319.0
97,97.0,334.0,-175.78947368421032,319.0
98,98.0,334.0,-175.78947368421032,319.0
