,episode,make_span,reward,min
0,0.0,225.0,-94.73684210526311,225.0
1,1.0,251.0,-105.68421052631577,225.0
2,2.0,302.0,-127.1578947368421,225.0
3,3.0,223.0,-93.89473684210526,223.0
4,4.0,228.0,-95.99999999999997,223.0
5,5.0,221.0,-93.0526315789474,221.0
6,6.0,204.0,-85.89473684210526,204.0
7,7.0,213.0,-89.6842105263158,204.0
8,8.0,238.0,-100.21052631578945,204.0
9,9.0,237.0,-99.78947368421055,204.0
10,10.0,237.0,-99.78947368421048,204.0
11,11.0,252.0,-106.10526315789471,204.0
12,12.0,232.0,-97.68421052631572,204.0
13,13.0,230.0,-96.84210526315783,204.0
14,14.0,231.0,-97.26315789473682,204.0
15,15.0,226.0,-95.15789473684212,204.0
16,16.0,246.0,-103.57894736842104,204.0
17,17.0,230.0,-96.84210526315788,204.0
18,18.0,242.0,-101.89473684210522,204.0
19,19.0,227.0,-95.578947368421,204.0
20,20.0,247.0,-104.0,204.0
21,21.0,223.0,-93.89473684210525,204.0
22,22.0,233.0,-98.10526315789473,204.0
23,23.0,223.0,-93.8947368421052,204.0
24,24.0,232.0,-97.68421052631575,204.0
25,25.0,241.0,-101.47368421052629,204.0
26,26.0,241.0,-101.47368421052633,204.0
27,27.0,235.0,-98.94736842105266,204.0
28,28.0,223.0,-93.89473684210525,204.0
29,29.0,230.0,-96.84210526315792,204.0
30,30.0,235.0,-98.94736842105266,204.0
31,31.0,248.0,-104.42105263157893,204.0
32,32.0,244.0,-102.73684210526312,204.0
33,33.0,231.0,-97.2631578947368,204.0
34,34.0,232.0,-97.68421052631575,204.0
35,35.0,244.0,-102.73684210526318,204.0
36,36.0,217.0,-91.36842105263158,204.0
37,37.0,219.0,-92.21052631578944,204.0
38,38.0,257.0,-108.21052631578945,204.0
39,39.0,223.0,-93.89473684210522,204.0
40,40.0,225.0,-94.73684210526312,204.0
41,41.0,242.0,-101.89473684210525,204.0
42,42.0,241.0,-101.47368421052633,204.0
43,43.0,219.0,-92.21052631578947,204.0
44,44.0,225.0,-94.73684210526315,204.0
45,45.0,237.0,-99.7894736842105,204.0
46,46.0,256.0,-107.78947368421048,204.0
47,47.0,228.0,-95.99999999999994,204.0
48,48.0,243.0,-102.3157894736842,204.0
49,49.0,225.0,-94.73684210526318,204.0
50,50.0,248.0,-104.4210526315789,204.0
51,51.0,219.0,-92.21052631578942,204.0
52,52.0,232.0,-97.68421052631578,204.0
53,53.0,240.0,-101.05263157894731,204.0
54,54.0,235.0,-98.9473684210526,204.0
55,55.0,242.0,-101.89473684210526,204.0
56,56.0,235.0,-98.94736842105259,204.0
57,57.0,234.0,-98.5263157894737,204.0
58,58.0,237.0,-99.78947368421052,204.0
59,59.0,225.0,-94.7368421052631,204.0
60,60.0,228.0,-95.99999999999997,204.0
61,61.0,232.0,-97.68421052631578,204.0
62,62.0,253.0,-106.52631578947364,204.0
63,63.0,225.0,-94.73684210526318,204.0
64,64.0,223.0,-93.89473684210526,204.0
65,65.0,213.0,-89.6842105263158,204.0
66,66.0,241.0,-101.47368421052632,204.0
67,67.0,248.0,-104.42105263157896,204.0
68,68.0,225.0,-94.73684210526312,204.0
69,69.0,232.0,-97.68421052631578,204.0
70,70.0,216.0,-90.94736842105266,204.0
71,71.0,228.0,-96.0,204.0
72,72.0,232.0,-97.6842105263158,204.0
