,episode,make_span,reward,min
0,0.0,107.0,-178.33333333333331,107.0
1,1.0,104.0,-173.33333333333334,104.0
2,2.0,104.0,-173.3333333333333,104.0
3,3.0,107.0,-178.33333333333331,104.0
4,4.0,108.0,-180.00000000000003,104.0
5,5.0,111.0,-184.99999999999994,104.0
6,6.0,110.0,-183.3333333333333,104.0
7,7.0,106.0,-176.6666666666666,104.0
8,8.0,109.0,-181.66666666666663,104.0
9,9.0,102.0,-170.00000000000009,102.0
10,10.0,108.0,-179.99999999999997,102.0
11,11.0,109.0,-181.66666666666663,102.0
12,12.0,111.0,-184.99999999999994,102.0
13,13.0,111.0,-184.99999999999994,102.0
14,14.0,111.0,-184.99999999999991,102.0
15,15.0,99.0,-165.0,99.0
16,16.0,106.0,-176.66666666666666,99.0
17,17.0,106.0,-176.66666666666666,99.0
18,18.0,103.0,-171.66666666666666,99.0
19,19.0,102.0,-170.0,99.0
20,20.0,105.0,-175.0,99.0
21,21.0,109.0,-181.6666666666667,99.0
22,22.0,108.0,-179.99999999999991,99.0
23,23.0,108.0,-179.99999999999991,99.0
24,24.0,100.0,-166.66666666666654,99.0
25,25.0,101.0,-168.33333333333323,99.0
26,26.0,101.0,-168.33333333333323,99.0
27,27.0,109.0,-181.6666666666666,99.0
28,28.0,99.0,-165.0,99.0
29,29.0,105.0,-175.00000000000003,99.0
30,30.0,103.0,-171.6666666666666,99.0
31,31.0,105.0,-175.00000000000003,99.0
32,32.0,117.0,-195.00000000000006,99.0
33,33.0,101.0,-168.3333333333334,99.0
34,34.0,104.0,-173.33333333333331,99.0
35,35.0,102.0,-169.99999999999994,99.0
36,36.0,102.0,-169.99999999999994,99.0
37,37.0,99.0,-165.0,99.0
38,38.0,97.0,-161.66666666666663,97.0
39,39.0,97.0,-161.66666666666663,97.0
40,40.0,96.0,-160.00000000000006,96.0
41,41.0,106.0,-176.66666666666669,96.0
42,42.0,99.0,-165.0,96.0
43,43.0,102.0,-169.99999999999997,96.0
44,44.0,106.0,-176.66666666666674,96.0
45,45.0,104.0,-173.33333333333343,96.0
46,46.0,100.0,-166.6666666666667,96.0
47,47.0,107.0,-178.33333333333331,96.0
48,48.0,110.0,-183.33333333333334,96.0
49,49.0,110.0,-183.33333333333334,96.0
50,50.0,107.0,-178.33333333333334,96.0
51,51.0,107.0,-178.33333333333334,96.0
52,52.0,115.0,-191.66666666666666,96.0
53,53.0,115.0,-191.66666666666666,96.0
54,54.0,107.0,-178.33333333333337,96.0
55,55.0,107.0,-178.33333333333337,96.0
56,56.0,104.0,-173.33333333333343,96.0
57,57.0,97.0,-161.66666666666674,96.0
58,58.0,97.0,-161.66666666666677,96.0
59,59.0,98.0,-163.33333333333343,96.0
60,60.0,98.0,-163.33333333333343,96.0
61,61.0,98.0,-163.33333333333343,96.0
62,62.0,98.0,-163.33333333333343,96.0
63,63.0,98.0,-163.33333333333346,96.0
64,64.0,100.0,-166.66666666666677,96.0
65,65.0,100.0,-166.66666666666677,96.0
66,66.0,102.0,-170.00000000000006,96.0
67,67.0,108.0,-180.00000000000006,96.0
68,68.0,107.0,-178.33333333333334,96.0
69,69.0,105.0,-175.00000000000003,96.0
70,70.0,105.0,-175.00000000000003,96.0
71,71.0,101.0,-168.33333333333337,96.0
72,72.0,92.0,-153.33333333333337,92.0
73,73.0,91.0,-151.6666666666667,91.0
74,74.0,91.0,-151.6666666666667,91.0
75,75.0,99.0,-165.0000000000001,91.0
76,76.0,89.0,-148.3333333333334,89.0
77,77.0,93.0,-155.00000000000003,89.0
78,78.0,93.0,-155.00000000000006,89.0
79,79.0,93.0,-155.00000000000003,89.0
80,80.0,93.0,-155.00000000000003,89.0
81,81.0,108.0,-180.0000000000001,89.0
82,82.0,108.0,-180.0000000000001,89.0
83,83.0,108.0,-180.0000000000001,89.0
84,84.0,94.0,-156.66666666666674,89.0
85,85.0,102.0,-170.00000000000003,89.0
86,86.0,104.0,-173.33333333333346,89.0
87,87.0,107.0,-178.33333333333334,89.0
88,88.0,106.0,-176.66666666666666,89.0
89,89.0,107.0,-178.33333333333334,89.0
90,90.0,104.0,-173.33333333333331,89.0
91,91.0,114.0,-190.0,89.0
92,92.0,105.0,-175.00000000000003,89.0
93,93.0,111.0,-185.0,89.0
94,94.0,111.0,-184.99999999999997,89.0
95,95.0,105.0,-175.00000000000003,89.0
96,96.0,117.0,-194.99999999999994,89.0
97,97.0,109.0,-181.6666666666667,89.0
98,98.0,105.0,-174.99999999999997,89.0
99,99.0,106.0,-176.66666666666663,89.0
100,100.0,108.0,-180.00000000000006,89.0
101,101.0,102.0,-170.0,89.0
102,102.0,106.0,-176.66666666666666,89.0
103,103.0,106.0,-176.66666666666666,89.0
104,104.0,102.0,-169.99999999999997,89.0
105,105.0,100.0,-166.66666666666669,89.0
106,106.0,99.0,-165.0,89.0
107,107.0,98.0,-163.33333333333337,89.0
108,108.0,104.0,-173.33333333333331,89.0
109,109.0,93.0,-155.00000000000006,89.0
110,110.0,99.0,-165.00000000000003,89.0
111,111.0,82.0,-136.66666666666669,82.0
112,112.0,93.0,-155.00000000000009,82.0
113,113.0,93.0,-155.00000000000009,82.0
114,114.0,93.0,-155.00000000000009,82.0
115,115.0,90.0,-150.00000000000003,82.0
116,116.0,90.0,-150.00000000000003,82.0
117,117.0,93.0,-154.99999999999997,82.0
118,118.0,90.0,-150.00000000000003,82.0
119,119.0,95.0,-158.3333333333334,82.0
120,120.0,94.0,-156.6666666666667,82.0
121,121.0,100.0,-166.66666666666674,82.0
122,122.0,92.0,-153.33333333333331,82.0
123,123.0,99.0,-165.0,82.0
124,124.0,101.0,-168.33333333333334,82.0
125,125.0,93.0,-155.00000000000003,82.0
126,126.0,99.0,-165.0,82.0
127,127.0,107.0,-178.33333333333343,82.0
128,128.0,96.0,-160.00000000000006,82.0
129,129.0,104.0,-173.33333333333334,82.0
130,130.0,105.0,-175.0,82.0
131,131.0,106.0,-176.66666666666666,82.0
132,132.0,98.0,-163.33333333333346,82.0
133,133.0,97.0,-161.66666666666683,82.0
134,134.0,109.0,-181.66666666666669,82.0
135,135.0,115.0,-191.6666666666667,82.0
136,136.0,109.0,-181.66666666666674,82.0
137,137.0,108.0,-180.0000000000001,82.0
138,138.0,101.0,-168.3333333333334,82.0
139,139.0,116.0,-193.33333333333331,82.0
140,140.0,116.0,-193.33333333333331,82.0
141,141.0,99.0,-165.00000000000014,82.0
142,142.0,106.0,-176.66666666666666,82.0
143,143.0,100.0,-166.6666666666667,82.0
144,144.0,102.0,-170.00000000000006,82.0
145,145.0,91.0,-151.6666666666668,82.0
146,146.0,90.0,-150.00000000000014,82.0
147,147.0,90.0,-150.00000000000014,82.0
148,148.0,90.0,-150.00000000000006,82.0
149,149.0,88.0,-146.6666666666668,82.0
150,150.0,87.0,-145.00000000000017,82.0
151,151.0,90.0,-150.0000000000001,82.0
152,152.0,83.0,-138.3333333333335,82.0
153,153.0,85.0,-141.66666666666677,82.0
154,154.0,87.0,-145.00000000000006,82.0
155,155.0,87.0,-145.00000000000006,82.0
156,156.0,83.0,-138.33333333333337,82.0
157,157.0,80.0,-133.3333333333334,80.0
158,158.0,93.0,-155.0000000000001,80.0
159,159.0,93.0,-155.0000000000001,80.0
160,160.0,93.0,-155.0000000000001,80.0
161,161.0,87.0,-145.0,80.0
162,162.0,88.0,-146.66666666666677,80.0
163,163.0,88.0,-146.66666666666677,80.0
164,164.0,81.0,-135.00000000000009,80.0
165,165.0,86.0,-143.33333333333348,80.0
166,166.0,85.0,-141.6666666666668,80.0
167,167.0,87.0,-145.0000000000001,80.0
168,168.0,86.0,-143.33333333333348,80.0
169,169.0,85.0,-141.66666666666677,80.0
170,170.0,84.0,-140.0000000000001,80.0
171,171.0,84.0,-140.00000000000017,80.0
172,172.0,85.0,-141.66666666666677,80.0
173,173.0,91.0,-151.66666666666677,80.0
174,174.0,92.0,-153.3333333333335,80.0
175,175.0,92.0,-153.3333333333335,80.0
176,176.0,91.0,-151.66666666666677,80.0
177,177.0,86.0,-143.33333333333346,80.0
178,178.0,86.0,-143.33333333333346,80.0
179,179.0,87.0,-145.00000000000009,80.0
180,180.0,85.0,-141.66666666666677,80.0
181,181.0,94.0,-156.66666666666674,80.0
182,182.0,112.0,-186.66666666666674,80.0
183,183.0,112.0,-186.66666666666674,80.0
184,184.0,114.0,-190.00000000000003,80.0
185,185.0,85.0,-141.66666666666674,80.0
186,186.0,85.0,-141.66666666666674,80.0
187,187.0,85.0,-141.66666666666674,80.0
188,188.0,83.0,-138.33333333333337,80.0
189,189.0,85.0,-141.6666666666667,80.0
190,190.0,85.0,-141.6666666666667,80.0
191,191.0,99.0,-165.00000000000006,80.0
192,192.0,88.0,-146.66666666666674,80.0
193,193.0,85.0,-141.6666666666667,80.0
194,194.0,85.0,-141.6666666666667,80.0
195,195.0,85.0,-141.66666666666674,80.0
196,196.0,85.0,-141.66666666666674,80.0
197,197.0,85.0,-141.66666666666674,80.0
198,198.0,85.0,-141.66666666666674,80.0
199,199.0,85.0,-141.66666666666674,80.0
200,200.0,85.0,-141.66666666666674,80.0
201,201.0,85.0,-141.66666666666674,80.0
202,202.0,85.0,-141.66666666666674,80.0
203,203.0,85.0,-141.66666666666674,80.0
204,204.0,85.0,-141.66666666666674,80.0
205,205.0,89.0,-148.33333333333346,80.0
206,206.0,87.0,-145.0000000000001,80.0
207,207.0,87.0,-145.0000000000001,80.0
208,208.0,85.0,-141.6666666666668,80.0
209,209.0,87.0,-145.0000000000001,80.0
210,210.0,87.0,-145.00000000000009,80.0
211,211.0,89.0,-148.33333333333346,80.0
212,212.0,84.0,-140.00000000000009,80.0
213,213.0,85.0,-141.66666666666674,80.0
214,214.0,85.0,-141.66666666666674,80.0
215,215.0,85.0,-141.66666666666674,80.0
216,216.0,85.0,-141.66666666666674,80.0
217,217.0,85.0,-141.66666666666674,80.0
218,218.0,85.0,-141.66666666666674,80.0
219,219.0,85.0,-141.66666666666674,80.0
220,220.0,85.0,-141.66666666666674,80.0
221,221.0,85.0,-141.66666666666674,80.0
222,222.0,85.0,-141.66666666666674,80.0
223,223.0,78.0,-130.0000000000001,78.0
224,224.0,81.0,-135.0000000000001,78.0
225,225.0,81.0,-135.0000000000001,78.0
226,226.0,81.0,-135.0000000000001,78.0
227,227.0,78.0,-130.0000000000001,78.0
228,228.0,78.0,-130.0000000000001,78.0
229,229.0,85.0,-141.66666666666674,78.0
230,230.0,85.0,-141.66666666666674,78.0
231,231.0,85.0,-141.66666666666674,78.0
232,232.0,85.0,-141.66666666666674,78.0
233,233.0,85.0,-141.6666666666667,78.0
234,234.0,85.0,-141.6666666666667,78.0
235,235.0,85.0,-141.6666666666667,78.0
236,236.0,85.0,-141.6666666666667,78.0
237,237.0,85.0,-141.66666666666674,78.0
238,238.0,85.0,-141.66666666666674,78.0
239,239.0,85.0,-141.66666666666674,78.0
240,240.0,85.0,-141.66666666666674,78.0
241,241.0,85.0,-141.66666666666674,78.0
242,242.0,85.0,-141.66666666666674,78.0
243,243.0,85.0,-141.66666666666674,78.0
244,244.0,85.0,-141.66666666666674,78.0
245,245.0,85.0,-141.66666666666674,78.0
246,246.0,103.0,-171.6666666666667,78.0
247,247.0,85.0,-141.66666666666674,78.0
248,248.0,85.0,-141.66666666666674,78.0
249,249.0,85.0,-141.66666666666674,78.0
250,250.0,85.0,-141.66666666666674,78.0
251,251.0,85.0,-141.66666666666674,78.0
252,252.0,85.0,-141.66666666666674,78.0
253,253.0,85.0,-141.66666666666674,78.0
254,254.0,85.0,-141.66666666666674,78.0
255,255.0,85.0,-141.66666666666674,78.0
256,256.0,85.0,-141.66666666666674,78.0
257,257.0,85.0,-141.66666666666674,78.0
258,258.0,85.0,-141.66666666666674,78.0
259,259.0,85.0,-141.66666666666674,78.0
260,260.0,85.0,-141.66666666666674,78.0
261,261.0,85.0,-141.66666666666674,78.0
262,262.0,85.0,-141.66666666666674,78.0
263,263.0,85.0,-141.66666666666674,78.0
264,264.0,85.0,-141.66666666666674,78.0
265,265.0,85.0,-141.66666666666674,78.0
266,266.0,85.0,-141.66666666666674,78.0
267,267.0,85.0,-141.66666666666674,78.0
268,268.0,85.0,-141.66666666666674,78.0
269,269.0,85.0,-141.66666666666674,78.0
270,270.0,85.0,-141.66666666666674,78.0
271,271.0,85.0,-141.66666666666674,78.0
272,272.0,85.0,-141.66666666666674,78.0
273,273.0,85.0,-141.66666666666674,78.0
274,274.0,85.0,-141.66666666666674,78.0
275,275.0,85.0,-141.66666666666674,78.0
276,276.0,85.0,-141.66666666666674,78.0
