,op-simple2-fjsp-2000-mk-,converged_iterations,total_time,min
Mk01,42.0,1940.0,117.55260562896729,41.0
Mk02,33.0,2342.0,119.44491839408875,31.0
Mk03,204.0,4358.0,717.780636548996,204.0
Mk04,73.0,2051.0,147.7518665790558,68.0
Mk05,183.0,12626.0,1497.8857390880585,182.0
Mk06,74.0,4178.0,512.1425466537476,72.0
Mk07,163.0,4865.0,573.1620578765869,163.0
Mk08,523.0,3983.0,831.9089117050171,523.0
Mk09,381.0,7190.0,1617.8798911571503,342.0
Mk10,243.0,5006.0,1129.2326922416687,238.0
