,op-simple2-fjsp-2000-mk-,converged_iterations,total_time,min
Mk01,42.0,2564.0,133.76701545715332,41.0
Mk02,31.0,1346.0,69.22725939750671,31.0
Mk03,204.0,4718.0,808.9087910652161,204.0
Mk04,70.0,2012.0,150.01092672348022,69.0
Mk05,185.0,5198.0,710.5922884941101,180.0
Mk06,70.0,4022.0,572.0473437309265,69.0
Mk07,165.0,3563.0,486.7247483730316,161.0
Mk08,523.0,14351.0,3514.8733072280884,523.0
Mk09,373.0,3800.0,897.4581522941589,352.0
Mk10,237.0,5612.0,1450.8804366588593,235.0
