,op-simple2-fjsp-2000-mk-,converged_iterations,total_time,min
Mk01,42.0,1973.0,100.94602513313293,41.0
Mk02,32.0,2222.0,114.31416440010071,31.0
Mk03,204.0,3689.0,571.1112051010132,204.0
Mk04,74.0,2507.0,182.57919216156006,73.0
Mk05,185.0,4820.0,588.4882323741913,181.0
Mk06,73.0,4892.0,631.3552412986755,72.0
Mk07,164.0,3518.0,433.142587184906,158.0
Mk08,523.0,12455.0,2914.001221179962,523.0
Mk09,320.0,6503.0,1501.4332332611084,316.0
Mk10,242.0,7607.0,1764.3698072433472,239.0
